'Ionic strength','Velocity','Zeta potential','Particle size','Coordination number','Surface coverage','Conductivity','Void fraction','Cloggingâ€™
0.3,10,60,5,1.96,0.24,0.26,0.83,-1
0.3,5,60,5,1.89,0.2,0.28,0.84,-1
0.3,1,60,5,2.29,254,186,797,-1
0.3,10,45.56,5,1.87,248,283,0.78,-1
0.3,5,45.56,5,2027,0.26,225,814,-1
0.3,1,45.56,5,2.07,248,257,0.81,-1
0.3,10,17.5,5,2.7,0.14,29,0.83,1
0.3,5,17.5,5,1.56,0.05,172,902,1
0.3,1,17.5,5,1.51,87,0.0708,889,1
0.05,10,60,5,1.79,357,433,816,-1
0.05,5,60,5,1.87,212,428,845,-1
0.05,1,60,5,2.16,256,267,0.81,-1
0.05,10,45.56,5,1.88,0.47,0.35,778,-1
0.05,5,45.56,5,1.87,0.26,0.39,825,-1
0.05,10,17.5,5,1828,0.23,405,837,-1
0.05,5,17.5,5,1915,0.22,0.33,834,-1
0.05,1,17.5,5,2.22,0.23,301,806,-1
1,10,60,5,206,65,0.86,976,-1
1,1,60,5,0.61,253,0.86,918,-1
1,10,45.56,5,209,48,869,982,-1
1,5,45.56,5,184,63,885,0.98,-1
1,1,45.56,5,0.63,0.23,855,0.92,-1
1,10,17.5,5,0.2,0.0569,0.87,0.98,-1
1,1,17.5,5,744,254,855,917,-1
0.3,10,60,3,2397,0.2613,281,0.8312,-1
0.3,5,60,3,2023,124,0.3408,0.8953,-1
0.3,1,60,3,2.11,202,205,0.8362,-1
0.3,10,45.56,3,2088,0.21,291,0.8716,-1
0.3,5,45.56,3,2095,161,0.2668,0.8636,-1
0.3,1,45.56,3,2431,0.19,0.2549,0.8382,-1
0.3,10,17.5,3,1.78,0.0825,0.0667,922,1
0.3,5,17.5,3,1.63,0.09,0.0754,943,1
0.3,1,17.5,3,1189,75,0.0865,0.93,1
0.05,10,60,3,1.7354,0.2715,0.5804,0.8613,-1
0.05,1,60,3,2264,0.2025,0.4314,0.8514,-1
0.05,10,45.56,3,1905,0.3,542,867,-1
0.05,5,45.56,3,2.0447,218,0.5065,0.87,-1
0.05,1,45.56,3,2.0288,131,0.4902,0.8875,-1
0.05,10,17.5,3,2.1084,0.24,0.4589,0.8514,-1
0.05,5,17.5,3,2.2238,0.1725,0.4111,0.8542,-1
0.05,1,17.5,3,2.2207,144,542,0.8674,-1
1,10,60,3,0.2254,0.0595,0.9169,0.9864,-1
1,5,60,3,0.2503,0.0956,0.9161,0.9825,-1
1,10,45.56,3,232,77,0.9153,0.9845,-1
1,5,45.56,3,0.240963855,0.12,905,0.9749,-1
1,1,45.56,3,0.574585635,328,899,0.9437,-1
1,10,17.5,3,0.2375,0.1339,0.9082,0.9761,-1
1,5,17.5,3,0.3011,0.22,0.9156,0.9594,-1
1,1,17.5,3,728,327,896,0.9375,-1
0.05,1,45.56,5,2.17,215,309,823,-1
1,5,60,5,195,65,874,978,-1
1,5,17.5,5,244,77,0.88,0.97,-1
0.05,5,60,3,2.18,0.3375,0.4791,0.8487,-1
1,1,60,3,565,278,0.8986,0.9473,-1
